,agent/critic_loss
445,0.009295064955949783
446,0.009562998078763485
447,0.009373973123729229
448,0.008606086485087872
449,0.01868281699717045
450,0.009389828890562057
451,0.011961609125137329
452,0.018085671588778496
453,0.014246704988181591
454,0.004660059232264757
455,0.009981834329664707
456,0.007750704884529114
457,0.008583019487559795
458,0.005498768296092749
459,0.004197134170681238
460,0.014074240811169147
461,0.0026273010298609734
462,0.008411599323153496
463,0.008742017671465874
464,0.0038166705053299665
465,0.004214874934405088
466,0.004892819095402956
467,0.01256194245070219
468,0.009473969228565693
469,0.002557075582444668
470,0.009503081440925598
471,0.011944964528083801
472,0.01081395149230957
473,0.009746230207383633
474,0.00562636973336339
475,0.012579817324876785
476,0.002635939745232463
477,0.0022172292228788137
478,0.0033478224650025368
479,0.019927844405174255
480,0.012346836738288403
481,0.01378057524561882
482,0.010636662133038044
483,0.00844403076916933
484,0.00554284080862999
485,0.006613361183553934
486,0.01476878672838211
487,0.01040438562631607
488,0.006511279847472906
489,0.010723202489316463
490,0.016121841967105865
491,0.007104112301021814
492,0.013041161932051182
493,0.0048026712611317635
494,0.013829241506755352
495,0.008269884623587132
496,0.004322347696870565
497,0.008584928698837757
498,0.008074269630014896
499,0.004221147391945124
500,0.008231042884290218
501,0.012944349087774754
502,0.004036616999655962
503,0.004413517192006111
504,0.005753780249506235
505,0.012465002946555614
506,0.009165034629404545
507,0.008424458093941212
508,0.022041143849492073
509,0.0058046975173056126
510,0.002808050950989127
511,0.003897967981174588
512,0.0226811021566391
513,0.004821965005248785
514,0.008340674452483654
515,0.0093199722468853
516,0.019762754440307617
517,0.006930639501661062
518,0.006445977836847305
519,0.005460422020405531
520,0.0103846350684762
521,0.01913130097091198
522,0.005811033770442009
523,0.006978598888963461
524,0.010523058474063873
525,0.0059616900980472565
526,0.005703961476683617
527,0.00937156192958355
528,0.004913104698061943
529,0.004103651735931635
530,0.009226901456713676
531,0.02082241326570511
532,0.016266370192170143
533,0.0066420226357877254
534,0.00870251189917326
535,0.006422925740480423
536,0.009311545640230179
537,0.009611845947802067
538,0.004470144864171743
539,0.013713210821151733
540,0.01504350733011961
541,0.005458146333694458
542,0.010913565754890442
543,0.013446277938783169
544,0.007214858662337065
545,0.005893230438232422
546,0.008252594619989395
547,0.008544237352907658
548,0.01165239792317152
549,0.004708718042820692
550,0.002528763609007001
551,0.002506052842363715
552,0.00999502930790186
553,0.006160178687423468
554,0.0017042257823050022
555,0.002611934905871749
556,0.025431225076317787
557,0.010333135724067688
558,0.00829276628792286
559,0.003242532489821315
560,0.007008299231529236
561,0.011366523802280426
562,0.0033792376052588224
563,0.006422095466405153
564,0.00697663938626647
565,0.01293261256068945
566,0.004842822905629873
567,0.005244311410933733
568,0.012097987346351147
569,0.00625118613243103
570,0.013476860709488392
571,0.006461691111326218
572,0.003335668472573161
573,0.006452722940593958
574,0.01806357316672802
575,0.015001453459262848
576,0.005935425404459238
577,0.0034083572681993246
578,0.017120594158768654
579,0.0106163015589118
580,0.002378834644332528
581,0.0060048531740903854
582,0.00815663393586874
583,0.013938382267951965
584,0.002712268615141511
585,0.013249923475086689
586,0.007958178408443928
587,0.003575889626517892
588,0.003443661378696561
589,0.0023109677713364363
590,0.00952141359448433
591,0.022671883925795555
592,0.0058942027390003204
593,0.009576198644936085
594,0.006837634369730949
595,0.010218505747616291
596,0.014085670001804829
597,0.01225851010531187
598,0.014608137309551239
599,0.012956082820892334
600,0.0032121597323566675
601,0.006077413912862539
602,0.00757550448179245
603,0.004444113466888666
604,0.00952422246336937
605,0.008259259164333344
606,0.022798754274845123
607,0.008788663893938065
608,0.009918340481817722
609,0.007381761912256479
610,0.003677140222862363
611,0.012208059430122375
612,0.007791491691023111
613,0.005082737188786268
614,0.008409825153648853
615,0.008822492323815823
616,0.0026454066392034292
617,0.011104940436780453
618,0.004642486106604338
619,0.005242329090833664
620,0.003945683594793081
621,0.011429723352193832
622,0.007973379455506802
623,0.005808325484395027
624,0.0023342217318713665
625,0.004573261830955744
626,0.0035641139838844538
627,0.0031437724828720093
628,0.004820280242711306
629,0.010115413926541805
630,0.004713330417871475
631,0.0027786102145910263
632,0.002093922346830368
633,0.016926780343055725
634,0.016871996223926544
635,0.008701100945472717
636,0.009236134588718414
637,0.011823524720966816
638,0.005926562938839197
639,0.0022422701586037874
640,0.02871033549308777
641,0.006468258798122406
642,0.00566978519782424
643,0.014229572378098965
644,0.002975800074636936
645,0.012266191653907299
646,0.008568273857235909
647,0.003749116323888302
648,0.010834348388016224
649,0.006263976916670799
650,0.016497889533638954
651,0.006876483093947172
652,0.009508098475635052
653,0.008804193697869778
654,0.004999980330467224
655,0.0033376060891896486
656,0.012428558431565762
657,0.010080933570861816
658,0.0029986028093844652
659,0.010050483047962189
660,0.004225906915962696
661,0.004000344779342413
662,0.017331192269921303
663,0.005559637676924467
664,0.007177901919931173
665,0.005724791437387466
666,0.004643443506211042
667,0.011273566633462906
668,0.011234941892325878
669,0.0162874236702919
670,0.01023034006357193
671,0.009743073023855686
672,0.0030099533032625914
673,0.00880853459239006
674,0.004174729343503714
675,0.005081969778984785
676,0.011982160620391369
677,0.008172201924026012
678,0.014637026004493237
679,0.006935497280210257
680,0.010149568319320679
681,0.01316173654049635
682,0.012253993190824986
683,0.0092554846778512
684,0.003969086334109306
685,0.017171643674373627
686,0.016552774235606194
687,0.004196038004010916
688,0.010747887194156647
689,0.008379991166293621
690,0.005865994840860367
691,0.007149759214371443
692,0.008757972158491611
693,0.007378085050731897
694,0.019580407068133354
695,0.010156265459954739
696,0.0056287930347025394
