,agent/total_reward
163,-44037.10546875
164,-41537.890625
165,-51509.59375
166,-49290.06640625
167,-48784.55859375
168,-49388.2890625
169,-47814.58984375
170,-50549.22265625
171,-48439.29296875
172,-48732.82421875
173,-49293.16796875
174,-49613.5390625
175,-47975.85546875
176,-50406.5390625
177,-50340.4609375
178,-48305.75390625
179,-49817.92578125
180,-47421.79296875
181,-49179.5390625
182,-50871.36328125
183,-48371.31640625
184,-47497.703125
185,-47692.94921875
186,-50405.41796875
187,-49928.40625
188,-52260.7109375
189,-48891.09765625
190,-51101.15625
191,-48684.75
192,-49838.79296875
193,-51194.40234375
194,-50427.19921875
195,-51812.0546875
196,-50674.5859375
197,-47128.640625
198,-46397.1328125
199,-47759.6484375
200,-49825.9453125
201,-49606.140625
202,-48579.80859375
203,-51309.875
204,-51241.35546875
205,-51765.76171875
206,-50810.28125
207,-47712.65234375
208,-47076.21875
209,-50412.34375
210,-50620.765625
211,-48775.9296875
212,-48693.6796875
213,-48612.98046875
214,-48337.34765625
215,-50346.69921875
216,-48933.09765625
217,-48357.6015625
218,-49749.875
219,-51239.6640625
220,-51770.921875
221,-51656.67578125
222,-50066.2734375
223,-53457.71875
224,-49577.03125
225,-47453.62890625
226,-53178.22265625
227,-46295.69921875
228,-51782.74609375
229,-49670.38671875
230,-44972.21484375
231,-49447.28125
232,-50568.57421875
233,-48059.34765625
234,-51036.83203125
235,-50020.3984375
236,-48439.5625
237,-49455.4921875
238,-49391.734375
239,-48749.2578125
240,-51719.80078125
241,-50410.67578125
242,-50993.37890625
243,-50964.2578125
244,-48627.3203125
245,-47563.3203125
246,-47498.203125
247,-49702.89453125
248,-51441.96875
249,-48665.9453125
250,-49225.26953125
251,-48239.73046875
252,-49342.08984375
253,-50741.12890625
254,-51168.578125
255,-48580.12890625
256,-50382.44140625
257,-50004.9609375
258,-49448.51953125
259,-45770.46484375
260,-50844.359375
261,-51143.703125
262,-50413.359375
263,-45564.0390625
264,-46319.77734375
265,-31462.345703125
266,-14171.9658203125
267,-8092.4638671875
268,-4545.8134765625
269,-6013.90185546875
270,-3215.67919921875
271,-3992.561767578125
272,-3603.231201171875
273,-3565.7236328125
274,-3816.4345703125
275,-4586.4453125
276,-4613.09375
277,-3136.259033203125
278,-2313.455322265625
279,-5019.60791015625
280,-5213.822265625
281,-3404.796142578125
282,-3019.99658203125
283,-2691.79736328125
284,-3136.902587890625
285,-3882.125
286,-2949.2998046875
287,-3898.650634765625
288,-3291.12841796875
289,-3616.462646484375
290,-3455.1748046875
291,-3409.040283203125
292,-2935.390625
293,-4486.4306640625
294,-3109.08447265625
295,-2471.078369140625
296,-3439.25537109375
297,-2613.640869140625
298,-2964.005615234375
299,-8206.685546875
300,-2902.953369140625
301,-4314.0419921875
302,-2593.46923828125
303,-3702.9033203125
304,-6557.4560546875
305,-3818.7041015625
306,-3531.83251953125
307,-4185.97900390625
308,-3456.868408203125
309,-2853.956298828125
