,agent/total_reward
634,-5007.556640625
635,-16088.3837890625
636,-2343.316162109375
637,-2607.341552734375
638,-5920.6767578125
639,-11346.689453125
640,-3193.0166015625
641,-28698.830078125
642,-49533.625
643,-45071.09765625
644,-3261.617431640625
645,-3303.17919921875
646,-3601.322021484375
647,-11849.322265625
648,-7577.177734375
649,-4591.73681640625
650,-44286.83984375
651,-11775.484375
652,-6409.6435546875
653,-4011.4970703125
654,-42203.14453125
655,-3625.35595703125
656,-3341.5869140625
657,-4287.98291015625
658,-39137.6015625
659,-4234.29052734375
660,-6138.4306640625
661,-2042.7642822265625
662,-45630.3984375
663,-12337.130859375
664,-37389.60546875
665,-5582.291015625
666,-11926.6064453125
667,-6202.95849609375
668,-46810.18359375
669,-7401.91796875
670,-42745.25390625
671,-13702.125
672,-5600.01416015625
673,-1938.2889404296875
674,-7059.65234375
675,-19733.880859375
676,-3857.785888671875
677,-10071.76171875
678,-17270.673828125
679,-35550.10546875
680,-39413.87109375
681,-13501.001953125
682,-6004.0107421875
683,-3711.68115234375
684,-5387.6484375
685,-49246.85546875
686,-2264.96240234375
687,-3507.490478515625
688,-7247.57421875
689,-7175.33251953125
690,-2978.814697265625
691,-3655.748046875
692,-4946.97412109375
693,-2665.612060546875
694,-1828.736572265625
695,-3487.816162109375
696,-9110.5009765625
697,-3976.485107421875
698,-2534.681640625
699,-2706.53466796875
700,-3409.87451171875
701,-9057.7783203125
702,-13661.26171875
703,-3876.200927734375
704,-2014.6187744140625
705,-4327.48974609375
706,-2613.410888671875
707,-3689.388916015625
708,-5525.8173828125
709,-5421.91552734375
710,-6152.33203125
711,-3553.3056640625
712,-3380.3125
713,-3985.185546875
714,-2944.274169921875
715,-9985.2890625
716,-2975.606689453125
717,-3049.27587890625
718,-2851.23193359375
719,-7161.9892578125
720,-5361.42138671875
721,-3976.485107421875
722,-9208.375
723,-6378.0283203125
724,-4734.98681640625
725,-5545.51171875
726,-3791.79248046875
727,-2542.593017578125
728,-4225.1767578125
729,-8202.767578125
730,-5179.59521484375
731,-5574.46435546875
732,-2531.24267578125
733,-3396.58837890625
734,-5577.466796875
735,-3291.18310546875
736,-6176.5966796875
737,-18573.140625
738,-37719.28125
739,-2566.6015625
740,-4637.39306640625
741,-43165.23046875
742,-3889.957763671875
743,-3137.390380859375
744,-3560.97509765625
745,-3413.672119140625
