,agent/total_reward
207,-2404.751220703125
208,-3070.610107421875
209,-1947.0484619140625
210,-4530.94580078125
211,-1894.3134765625
212,-3839.884033203125
213,-2887.5390625
214,-2923.2685546875
215,-3288.265869140625
216,-3672.9326171875
217,-2615.5908203125
218,-1897.0689697265625
219,-2885.043212890625
220,-3156.6943359375
221,-3419.562744140625
222,-2408.7001953125
223,-3694.284912109375
224,-3857.12109375
225,-3033.557861328125
226,-2783.176513671875
227,-2136.258056640625
228,-3503.48291015625
229,-1978.6568603515625
230,-3676.9345703125
231,-2744.378662109375
232,-1931.2479248046875
233,-2996.229736328125
234,-3198.140625
235,-2912.24755859375
236,-3651.4248046875
237,-1804.7125244140625
238,-2532.3447265625
239,-3129.011962890625
240,-3358.500244140625
241,-3940.146728515625
242,-2021.0167236328125
243,-3127.90234375
244,-2219.77490234375
245,-2637.881591796875
246,-3312.17919921875
247,-2399.548583984375
248,-3057.090087890625
249,-3538.0166015625
250,-3043.439208984375
251,-2637.828369140625
252,-3608.356689453125
253,-2411.85107421875
254,-2705.1259765625
255,-2893.93896484375
256,-3205.341064453125
257,-2861.6318359375
258,-2819.014892578125
259,-2465.290283203125
260,-2172.85595703125
261,-1923.129638671875
262,-2587.215576171875
263,-2912.048828125
264,-2881.5234375
265,-4167.31689453125
266,-4003.7529296875
267,-3314.5537109375
268,-2270.337646484375
269,-3652.94189453125
270,-3060.1259765625
271,-2871.033935546875
272,-3245.650390625
273,-2449.908203125
274,-3204.819091796875
275,-4725.306640625
276,-2961.8798828125
277,-3312.542236328125
278,-2716.231689453125
279,-2318.577392578125
280,-3900.751708984375
281,-3025.167236328125
282,-2557.678466796875
283,-2125.805419921875
284,-3225.1103515625
285,-2191.899658203125
286,-3634.46923828125
287,-2777.690673828125
288,-2759.9423828125
289,-4066.141845703125
290,-2762.187744140625
291,-3969.189453125
292,-3537.55908203125
293,-4153.037109375
294,-3018.224365234375
295,-5022.5498046875
296,-3326.267578125
297,-3806.70849609375
298,-3419.130126953125
299,-3596.278564453125
300,-3810.209716796875
301,-5731.4033203125
302,-2902.340576171875
303,-2717.909423828125
304,-5568.5146484375
305,-7100.8857421875
306,-25749.3671875
307,-43825.7421875
308,-48272.0
309,-50679.64453125
310,-48087.96875
311,-49449.10546875
312,-48341.2578125
313,-49061.609375
314,-50812.765625
315,-49328.90234375
316,-48338.3203125
